k,time,wind_mps,P_pu,Q_pu,wr_pu,P_MW,Q_Mvar,dayOfYear,month
1,01-Jan-2024 00:00:00,2.55038727883826,0.0781014439201136,-0.207038985950717,0.700394926439407,89.0356460689295,-236.024443983817,1,1
2,01-Jan-2024 04:00:00,3.73118632077148,0.0854923983206892,-0.205956150854589,0.70636317130615,97.4613340855857,-234.790011974232,1,1
3,01-Jan-2024 08:00:00,5.14424599924655,0.153077147367334,-0.222748103416886,0.746757533295271,174.50794799876,-253.93283789525,1,1
4,01-Jan-2024 12:00:00,5.75060013864437,0.176861701942694,-0.224753092328476,0.775816766593573,201.622340214672,-256.218525254462,1,1
5,01-Jan-2024 16:00:00,2.75046238410174,0.0781014439201136,-0.207038985950717,0.700394926439407,89.0356460689295,-236.024443983817,1,1
6,01-Jan-2024 20:00:00,8.08093403385641,0.302849316189954,-0.233324464218412,0.934063867987335,345.248220456548,-265.989889208989,1,1
7,02-Jan-2024 00:00:00,11.6186815828308,0.760307333611692,-0.135319984622362,1.200499824797,866.750360317329,-154.264782469493,2,1
8,02-Jan-2024 04:00:00,15.1571313583786,0.898815791662605,-0.0490492272035402,1.1995131663068,1024.65000249537,-55.9161190120358,2,1
9,02-Jan-2024 08:00:00,13.6496138456032,0.895915898472509,-0.0532291628007358,1.19970734887025,1021.34412425866,-60.6812455928388,2,1
10,02-Jan-2024 12:00:00,4.76931648156627,0.125093734068565,-0.214821413472272,0.73186894697349,142.606856838164,-244.89641135839,2,1
11,02-Jan-2024 16:00:00,3.55427405940964,0.0904140691731994,-0.205502000866273,0.70420525784262,103.072038857447,-234.272280987552,2,1
12,02-Jan-2024 20:00:00,4.18634190054397,0.10242480839297,-0.203338822418351,0.714597366610878,116.764281567986,-231.80625755692,2,1
13,03-Jan-2024 00:00:00,4.96166442188724,0.146995730461737,-0.219759486265221,0.739191422772,167.57513272638,-250.525814342352,3,1
14,03-Jan-2024 04:00:00,10.6190227925104,0.586600039859389,-0.200550752646037,1.15213293389587,668.724045439703,-228.627858016483,3,1
15,03-Jan-2024 08:00:00,14.0441081135551,0.897408629411288,-0.0526070707147923,1.19958639225278,1023.04583752887,-59.9720606148632,3,1
16,03-Jan-2024 12:00:00,12.7615862769953,0.925081316724718,-0.0372012081920245,1.20033653599424,1054.59270106618,-42.409377338908,3,1
17,03-Jan-2024 16:00:00,12.3652669995754,0.901755557122374,-0.0605928027286028,1.20105837107312,1028.00133511951,-69.0757951106071,3,1
18,03-Jan-2024 20:00:00,12.5260208016256,0.886257061396412,-0.0696714863415139,1.19822083334243,1010.33304999191,-79.4254944293258,3,1
19,04-Jan-2024 00:00:00,9.93880258157126,0.49650935197943,-0.220619107619996,1.09341025955271,566.02066125655,-251.505782686795,4,1
